Id_Property,Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
1,Layout Keren Efisien Rumah Full Furnished Dekat Sleman City Hall,"Sleman, Yogyakarta",22000000000,4,4,1,123,145,0.161530428,0.333333333,0.375,0,0.410169492,0.595041322,layout keren efisien rumah full furnished dekat sleman city hall,sleman yogyakarta,jual 1 unit rumah baru siap huni bonus full furnished sardonoharjo ngaglik sleman kode,rumah premier full furnished siap huni dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/2033166/2024-06-30-06-52-40-eee4f9a8-977a-419f-a33e-dd159e0d1da2.jpg,https://www.rumah123.com/properti/sleman/hos17475329/
2,Mewah Dengan Kolam Renang di Sleman Dekat Resto Jejamuran,"Sleman, Sleman",32000000000,5,4,1,159,159,0.23508039,0.444444444,0.375,0,0.53220339,0.652892562,mewah kolam renang sleman dekat resto jejamuran,sleman sleman,kode core 1041 spesifikasi luas tanah 159 180 m2 luas bangun 159 m2 jumlah unit 8 jumlah,rumah premier dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2071437/37b2d7a52732106e74f7d24830a842b2.jpg,https://www.rumah123.com/properti/bantul/hos18621220/
3,Rumah Kolam Renang Perumahan Grand Str Palagan Sleman Yogyakarta,"Ngaglik, Sleman",18000000000,3,3,2,130,110,0.132110443,0.222222222,0.25,0.05,0.433898305,0.450413223,rumah kolam renang rumah grand str palagan sleman yogyakarta,ngaglik sleman,rumah baru kolam renang rumah grand str palagan sleman yogyakarta cukup tanda jadi rp 10,rumah premier full furnished dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/15bff280c88d0c3ccc8bd049838325d0.jpg,https://www.rumah123.com/properti/sleman/hos18404908/
4,"Rumah 2 Lantai Bagus Furnished SHM di Jalan Imogiri Barat, Bantul","Sewon, Bantul",25000000000,4,2,2,112,168,0.183595416,0.333333333,0.125,0.05,0.372881356,0.690082645,rumah 2 lantai bagus furnished shm jalan imogiri barat bantul,sewon bantul,rumah siap huni baru renovasi fully furnished rumah rumah pinang merah 2 won bantul,rumah premier full furnished siap huni,https://picture.rumah123.com/r123-images/720x420-crop/customer/2071437/a7d113c0f39e9a22c43ea251b5e029f3.jpg,https://www.rumah123.com/properti/yogyakarta/hos18654823/
5,"Rumah 2 Lantai Bagus Furnished SHM di Jalan Imogiri Barat, Yogyakarta","Umbulharjo, Yogyakarta",25000000000,4,2,2,112,168,0.183595416,0.333333333,0.125,0.05,0.372881356,0.690082645,rumah 2 lantai bagus furnished shm jalan imogiri barat yogyakarta,umbulharjo yogyakarta,rumah bagus siap huni dekat kota jogja rumah fully furnished kondisi bagus siap huni rumah,rumah premier full furnished siap huni,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/694095d0f08cf4f05facc03326dfafd7.jpg,https://www.rumah123.com/properti/bantul/hos18686918/
6,Minimalis Modern Cocok Untuk Gaya Hidup Praktis Dan Stylish,"Sedayu, Bantul",710000000,2,1,1,72,50,0.004942557,0.111111111,0,0,0.237288136,0.202479339,minimal modern cocok gaya hidup praktis stylish,sedayu bantul,kode stw agam fasilitas dalam nya one gate system security 24 jam cctcv,rumah premier dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1630475/f8c54bbdee8c6f1d9d265a921a1e66bd.jpg,https://www.rumah123.com/properti/yogyakarta/hos18382623/
7,Rumah Baru 3 Unit Mewah Limasan Harga Murah Area Perumahan Di Jalan Kaliurang Km 13 Dekat Sma N 2 Ngaglik Dan Spbu Mindi Sleman,"Ngemplak, Sleman",650000000,3,2,2,90,65,0.004501258,0.222222222,0.125,0.05,0.298305085,0.26446281,rumah baru 3 unit mewah limas harga murah area rumah jalan kaliurang km 13 dekat sma n 2 ngaglik spbu mindi sleman,ngemplak sleman,rumah baru mewah limas mini cluster madinah residence jalan kaliurang km 13 dekat sma,rumah premier dekat sekolah dekat fasilitas sehat dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/d170bf39312c5654d0178d50f99f58c6.jpg,https://www.rumah123.com/properti/sleman/hos18631640/
8,Rumah Besar Murah !! Tanahnya 210m Lho..carpot Bisa 2 Mobil..lingkungan Nyaman,"Purwomartani, Sleman",750000000,3,1,2,210,170,0.005236757,0.222222222,0,0.05,0.705084746,0.698347107,rumah besar murah tanah 210m lho carpot 2 mobil lingkung nyaman,purwomartani sleman,murah banget jarang ada 10 menit ke kampus sanata dharma rumah murah tanah luas lho 210m,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/8b97d478c1825069f90f2a29aa7e3613.jpg,https://www.rumah123.com/properti/yogyakarta/hos18568574/
9,Rumah Siap Huni Fullfurnish Dalam Perumahan Dekat Umy Yogyakarta,"Wirobrajan, Yogyakarta",378000000,2,1,1,71,36,0.002500699,0.111111111,0,0,0.233898305,0.144628099,rumah siap huni fullfurnish rumah dekat umy yogyakarta,wirobrajan yogyakarta,rumah siap huni gaya jepang 300 juta jogja barat full furnished estetik rumah gaya jepang,rumah premier full furnished siap huni dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1901248/56b3490f8212a83047e0396390b7ea7e.jpg,https://www.rumah123.com/properti/sleman/hos18646752/
10,Grand Launching Minimalis Kekinian di Sleman Utara Dekat Uii,"Sleman, Yogyakarta",768000000,2,2,1,96,60,0.005369147,0.111111111,0.125,0,0.318644068,0.243801653,grand launching minimal kini sleman utara dekat uii,sleman yogyakarta,hadir buah rumah baru konsep minimal kini hargobinangun pakem sleman,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/f0e995ff2d82f093c4f4debbf2fb81e4.jpg,https://www.rumah123.com/properti/sleman/hos18508362/
11,"Free Ajb, Bbn, Notaris Rumah Modern di Sleman Dekat Kampus Uii","Sleman, Yogyakarta",1.09E+11,4,3,2,120,130,0.801415101,0.333333333,0.25,0.05,0.4,0.533057851,free ajb bbn notaris rumah modern sleman dekat kampus uii,sleman yogyakarta,jual 1 unit rumah baru siap huni konsep modern elegan jl kaliurang km 12 5 sleman yogyakarta,rumah premier siap huni dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893426/aeef146645fe83ccdb74915218d529e6.jpg,https://www.rumah123.com/properti/sleman/hos16837965/
12,Perumahan Modern 2 Lantai Grand Str Palagan Jogja Sleman Yogyakar,"Ngaglik, Sleman",18000000000,3,3,2,130,120,0.132110443,0.222222222,0.25,0.05,0.433898305,0.491735537,rumah modern 2 lantai grand str palagan jogja sleman yogyakar,ngaglik sleman,rumah modern elit grand str palagan jogja ngaglik sleman yogyakarta 22 unit rumah modern,rumah premier full furnished,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/c14b907eb011414b6cccef2965d05bbc.jpg,https://www.rumah123.com/properti/yogyakarta/hos17922274/
13,Rumah Cantik Dalam Perumahan Strategis Siap Huni Shm,"Ngaglik, Sleman",19000000000,3,2,2,136,165,0.139465439,0.222222222,0.125,0.05,0.454237288,0.67768595,rumah cantik rumah strategis siap huni shm,ngaglik sleman,rumah cantik 2 lantai strategis area jalan palagan prestisius rumah dgn one gate sistem,rumah premier siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/a145b3b9849c7d9db59f2b9871ccf626.jpg,https://www.rumah123.com/properti/sleman/hos17967290/
14,Perumahan Baru Mewah Patra Siap Huni Bisa Angsuran 79x Flatt,"Ngaglik, Sleman",24000000000,2,3,2,126,100,0.17624042,0.111111111,0.25,0.05,0.420338983,0.409090909,rumah baru mewah patra siap huni angsur 79x flatt,ngaglik sleman,mau punya rumah mewah area sejuk strategis yogyakarta jangan lewat sempat untuk,rumah premier siap huni dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/95c5532f8bb850cec1e5b066cd1a04e4.jpg,https://www.rumah123.com/properti/yogyakarta/hos18694528/
15,"Jual Rumah Villa Private Pool Mewah di Tajem, Sleman Yogyakarta","Sleman, Yogyakarta",1.27E+11,3,2,2,81,120,0.933805034,0.222222222,0.125,0.05,0.26779661,0.491735537,jual rumah villa private pool mewah tajem sleman yogyakarta,sleman yogyakarta,rumah mewah 2 lantai private pool lokasi strategis sleman maguwoharjo yogyakarta luas bangun,rumah premier dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/49a528dd5adabb57dd59eda5a2eca3a8.jpg,https://www.rumah123.com/properti/yogyakarta/hos18681065/
